Country,Region
Afghanistan ,ASIA (EX. NEAR EAST)         
Bangladesh ,ASIA (EX. NEAR EAST)         
Bhutan ,ASIA (EX. NEAR EAST)         
Brunei ,ASIA (EX. NEAR EAST)         
Burma ,ASIA (EX. NEAR EAST)         
Cambodia ,ASIA (EX. NEAR EAST)         
China ,ASIA (EX. NEAR EAST)         
East Timor ,ASIA (EX. NEAR EAST)         
Hong Kong ,ASIA (EX. NEAR EAST)         
India ,ASIA (EX. NEAR EAST)         
Indonesia ,ASIA (EX. NEAR EAST)         
Iran ,ASIA (EX. NEAR EAST)         
Japan ,ASIA (EX. NEAR EAST)         
"Korea, North ",ASIA (EX. NEAR EAST)         
"Korea, South ",ASIA (EX. NEAR EAST)         
Laos ,ASIA (EX. NEAR EAST)         
Macau ,ASIA (EX. NEAR EAST)         
Malaysia ,ASIA (EX. NEAR EAST)         
Maldives ,ASIA (EX. NEAR EAST)         
Mongolia ,ASIA (EX. NEAR EAST)         
Nepal ,ASIA (EX. NEAR EAST)         
Pakistan ,ASIA (EX. NEAR EAST)         
Philippines ,ASIA (EX. NEAR EAST)         
Singapore ,ASIA (EX. NEAR EAST)         
Sri Lanka ,ASIA (EX. NEAR EAST)         
Taiwan ,ASIA (EX. NEAR EAST)         
Thailand ,ASIA (EX. NEAR EAST)         
Vietnam ,ASIA (EX. NEAR EAST)         
Estonia ,BALTICS                            
Latvia ,BALTICS                            
Lithuania ,BALTICS                            
Armenia ,C.W. OF IND. STATES 
Azerbaijan ,C.W. OF IND. STATES 
Belarus ,C.W. OF IND. STATES 
Georgia ,C.W. OF IND. STATES 
Kazakhstan ,C.W. OF IND. STATES 
Kyrgyzstan ,C.W. OF IND. STATES 
Moldova ,C.W. OF IND. STATES 
Russia ,C.W. OF IND. STATES 
Tajikistan ,C.W. OF IND. STATES 
Turkmenistan ,C.W. OF IND. STATES 
Ukraine ,C.W. OF IND. STATES 
Uzbekistan ,C.W. OF IND. STATES 
Albania ,EASTERN EUROPE                     
Bosnia & Herzegovina ,EASTERN EUROPE                     
Bulgaria ,EASTERN EUROPE                     
Croatia ,EASTERN EUROPE                     
Czech Republic ,EASTERN EUROPE                     
Hungary ,EASTERN EUROPE                     
Macedonia ,EASTERN EUROPE                     
Poland ,EASTERN EUROPE                     
Romania ,EASTERN EUROPE                     
Serbia ,EASTERN EUROPE                     
Slovakia ,EASTERN EUROPE                     
Slovenia ,EASTERN EUROPE                     
Anguilla ,LATIN AMER. & CARIB    
Antigua & Barbuda ,LATIN AMER. & CARIB    
Argentina ,LATIN AMER. & CARIB    
Aruba ,LATIN AMER. & CARIB    
"Bahamas, The ",LATIN AMER. & CARIB    
Barbados ,LATIN AMER. & CARIB    
Belize ,LATIN AMER. & CARIB    
Bolivia ,LATIN AMER. & CARIB    
Brazil ,LATIN AMER. & CARIB    
British Virgin Is. ,LATIN AMER. & CARIB    
Cayman Islands ,LATIN AMER. & CARIB    
Chile ,LATIN AMER. & CARIB    
Colombia ,LATIN AMER. & CARIB    
Costa Rica ,LATIN AMER. & CARIB    
Cuba ,LATIN AMER. & CARIB    
Dominica ,LATIN AMER. & CARIB    
