tmdbId,original_language,original_title,popularity,release_date,title,score_tmdb,votes_tmdb,movieId,imdbId,genres,year,worldwide_gross,budget,company,country,director,domestic_gross,runtime,score_imdb,star,votes_imdb,writer,votes_ml,score_ml
862,en,Toy Story,22.773,1995-10-30,Toy Story,7.9,9550,1,114709,Adventure|Animation|Children|Comedy|Fantasy,1995.0,373554033.0,30000000.0,Pixar Animation Studios,USA,John Lasseter,191796233.0,81,8.3,Tom Hanks,694113,John Lasseter,68469,3.8866494325899312
8844,en,Jumanji,2.947,1995-12-15,Jumanji,7.1,5594,2,113497,Adventure|Children|Fantasy,1995.0,262797249.0,50000000.0,TriStar Pictures,USA,Joe Johnston,100475249.0,104,6.9,Robin Williams,232339,Jonathan Hensleigh,27143,3.246582912721512
15602,en,Grumpier Old Men,6.076,1995-12-22,Grumpier Old Men,6.5,140,3,113228,Comedy|Romance,1995.0,0.0,25000000.0,Lancaster Gate,USA,Howard Deutch,69870000.0,101,6.6,Walter Matthau,20718,Mark Steven Johnson,15585,3.173981392364453
31357,en,Waiting to Exhale,2.917,1995-12-22,Waiting to Exhale,6.1,55,4,114885,Comedy|Drama|Romance,1995.0,81452156.0,16000000.0,Twentieth Century Fox Film Corporation,USA,Forest Whitaker,67052156.0,124,5.7,Whitney Houston,7977,Terry McMillan,2989,2.874539979926397
11862,en,Father of the Bride Part II,6.817,1995-02-10,Father of the Bride Part II,6.1,288,5,113041,Comedy,1995.0,76578911.0,30000000.0,Sandollar Productions,USA,Charles Shyer,76594000.0,106,5.9,Steve Martin,28658,Albert Hackett,15474,3.0772909396406876
949,en,Heat,13.666,1995-12-15,Heat,7.8,3002,6,113277,Action|Crime|Thriller,1995.0,187436818.0,60000000.0,Warner Bros.,USA,Michael Mann,67436818.0,170,8.2,Al Pacino,470080,Michael Mann,28683,3.8442108566049575
11860,en,Sabrina,6.177,1995-12-15,Sabrina,6.1,260,7,114319,Comedy|Romance,1995.0,0.0,58000000.0,Constellation Entertainment,Germany,Sydney Pollack,53672080.0,127,6.3,Harrison Ford,31451,Samuel A. Taylor,15301,3.371348277890334
45325,en,Tom and Huck,3.567,1995-12-22,Tom and Huck,5.3,73,8,112302,Adventure|Children,1995.0,0.0,0.0,Walt Disney Pictures,USA,Peter Hewitt,23735802.0,97,5.6,Jonathan Taylor Thomas,8150,Mark Twain,1539,3.122482131254061
9091,en,Sudden Death,5.89,1995-10-27,Sudden Death,5.7,279,9,114576,Action,1995.0,64350171.0,35000000.0,Universal Pictures,USA,Peter Hyams,20350171.0,111,5.7,Jean-Claude Van Damme,27472,Karen Elise Baldwin,4449,3.007529781973477
710,en,GoldenEye,16.629,1995-11-16,GoldenEye,6.8,1853,10,113189,Action|Adventure|Thriller,1995.0,352194034.0,60000000.0,Eon Productions,UK,Martin Campbell,106600000.0,130,7.2,Pierce Brosnan,209588,Ian Fleming,33086,3.431632714743396
9087,en,The American President,6.165,1995-11-17,The American President,6.6,299,11,112346,Comedy|Drama|Romance,1995.0,107879496.0,62000000.0,Universal Pictures,USA,Rob Reiner,65000000.0,114,6.8,Michael Douglas,45293,Aaron Sorkin,19669,3.660277594183741
21032,en,Balto,8.735,1995-12-22,Balto,7.2,947,13,112453,Adventure|Animation|Children,1995.0,11348324.0,0.0,Amblimation,USA,Simon Wells,11268750.0,100,7.1,Kevin Bacon,32984,Cliff Ruby,1952,3.3396516393442623
10858,en,Nixon,5.835,1995-12-22,Nixon,7.0,123,14,113987,Drama,1995.0,13681765.0,50000000.0,Cinergi Pictures Entertainment,USA,Oliver Stone,13560960.0,192,7.1,Anthony Hopkins,25426,Stephen J. Rivele,6838,3.4289997075168177
1408,en,Cutthroat Island,7.02,1995-12-22,Cutthroat Island,5.8,221,15,112760,Action|Adventure|Romance,1995.0,10017322.0,98000000.0,Beckner/Gorman Productions,USA,Renny Harlin,10017322.0,124,5.6,Geena Davis,22527,Michael Frost Beckner,3154,2.730976537729867
524,en,Casino,12.757,1995-11-22,Casino,7.9,2283,16,112641,Crime|Drama,1995.0,116112375.0,52000000.0,Universal Pictures,France,Martin Scorsese,42438300.0,178,8.2,Robert De Niro,367532,Nicholas Pileggi,21165,3.8023623907394284
4584,en,Sense and Sensibility,8.861,1995-12-13,Sense and Sensibility,7.4,647,17,114388,Drama|Romance,1995.0,135000000.0,16000000.0,Columbia Pictures Corporation,USA,Ang Lee,43182776.0,136,7.7,Emma Thompson,84237,Jane Austen,24552,3.9501262626262625
5,en,Four Rooms,8.995,1995-12-09,Four Rooms,6.3,1089,18,113101,Comedy,1995.0,4300000.0,4000000.0,Miramax,USA,Allison Anders,4301331.0,98,6.7,Tim Roth,83723,Allison Anders,6255,3.41207034372502
9273,en,Ace Ventura: When Nature Calls,8.87,1995-11-10,Ace Ventura: When Nature Calls,6.2,2019,19,112281,Comedy,1995.0,212385533.0,30000000.0,Morgan Creek Productions,USA,Steve Oedekerk,108385533.0,90,6.3,Jim Carrey,172305,Jack Bernstein,24913,2.6420142094488823
11517,en,Money Train,7.826,1995-11-21,Money Train,5.6,335,20,113845,Action|Comedy|Crime|Drama|Thriller,1995.0,35431113.0,68000000.0,Columbia Pictures,USA,Joseph Ruben,35324232.0,110,5.6,Wesley Snipes,34091,Doug Richardson,4658,2.894482610562473
8012,en,Get Shorty,10.099,1995-10-20,Get Shorty,6.5,451,21,113161,Comedy|Crime|Thriller,1995.0,115101622.0,30250000.0,Metro-Goldwyn-Mayer (MGM),USA,Barry Sonnenfeld,72077000.0,105,6.9,Gene Hackman,66364,Elmore Leonard,25699,3.5683684190046305
1710,en,Copycat,5.32,1995-10-27,Copycat,6.5,382,22,112722,Crime|Drama|Horror|Mystery|Thriller,1995.0,0.0,20000000.0,Regency Enterprises,USA,Jon Amiel,32051917.0,123,6.6,Sigourney Weaver,45066,Ann Biderman,11136,3.301140445402299
9691,en,Assassins,8.278,1995-10-06,Assassins,6.2,624,23,112401,Action|Crime|Thriller,1995.0,30303072.0,50000000.0,Warner Bros.,France,Richard Donner,30306268.0,132,6.3,Sylvester Stallone,67317,Lilly Wachowski,4871,3.158796961609526
12665,en,Powder,7.691,1995-10-27,Powder,6.4,218,24,114168,Drama|Sci-Fi,1995.0,0.0,9500000.0,Caravan Pictures,USA,Victor Salva,30862146.0,111,6.6,Mary Steenburgen,25582,Victor Salva,9191,3.1793058426721794
16420,en,Othello,3.732,1995-12-15,Othello,6.6,60,26,114057,Drama,1995.0,0.0,11000000.0,Castle Rock Entertainment,USA,Oliver Parker,2112951.0,123,6.9,Laurence Fishburne,7965,Oliver Parker,3028,3.6101387054161163
9263,en,Now and Then,7.539,1995-10-20,Now and Then,6.8,152,27,114011,Children|Drama,1995.0,27400000.0,0.0,New Line Cinema,USA,Lesli Linka Glatter,27400000.0,100,6.8,Christina Ricci,22719,I. Marlene King,1876,3.425106609808102
902,fr,La Cité Des Enfants Perdus,9.141,1995-05-16,The City of Lost Children,7.5,465,29,112682,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,1738611.0,18000000.0,Club d'Investissement Média,France,Marc Caro,1513028.0,112,7.7,Ron Perlman,58437,Gilles Adrien,10024,3.9187948922585796
