,popularity,country,genre,january,february,march,april,may,june,july,august,september,october,november,december
0,22.773000000000003,USA,Animation,0,0,0,0,0,0,0,0,0,0,1,0
1,2.947,USA,Action,0,0,0,0,0,0,0,0,0,0,0,1
2,6.0760000000000005,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
3,2.917,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
4,6.817,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
5,13.665999999999999,USA,Action,0,0,0,0,0,0,0,0,0,0,0,1
6,6.1770000000000005,Germany,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
7,3.5669999999999997,USA,Adventure,0,0,0,0,0,0,0,0,0,0,0,1
8,5.89,USA,Action,0,0,0,0,0,0,0,0,0,0,0,1
9,16.629,UK,Action,0,0,0,0,0,0,0,0,0,0,1,0
10,6.165,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
11,8.735,USA,Animation,0,0,0,0,0,0,0,0,0,0,0,1
12,5.835,USA,Biography,1,0,0,0,0,0,0,0,0,0,0,0
13,7.02,USA,Action,0,0,0,0,0,0,0,0,0,0,0,1
14,12.757,France,Crime,0,0,0,0,0,0,0,0,0,0,1,0
15,8.861,USA,Drama,1,0,0,0,0,0,0,0,0,0,0,0
16,8.995,USA,Comedy,0,0,0,0,0,0,0,0,0,0,0,1
17,8.87,USA,Adventure,0,0,0,0,0,0,0,0,0,0,1,0
18,7.8260000000000005,USA,Action,0,0,0,0,0,0,0,0,0,0,1,0
19,10.099,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
20,5.32,USA,Drama,0,0,0,0,0,0,0,0,0,1,0,0
21,8.277999999999999,France,Action,0,0,0,0,0,0,0,0,0,1,0,0
22,7.691,USA,Drama,0,0,0,0,0,0,0,0,0,1,0,0
23,3.7319999999999998,USA,Drama,1,0,0,0,0,0,0,0,0,0,0,0
24,7.539,USA,Comedy,0,0,0,0,0,0,0,0,0,1,0,0
25,9.141,France,Fantasy,0,0,0,0,0,0,0,0,0,0,0,1
26,6.308,USA,Biography,0,0,0,0,0,0,0,1,0,0,0,0
27,14.048,USA,Mystery,1,0,0,0,0,0,0,0,0,0,0,0
28,1.4,France,Adventure,0,0,0,0,0,0,0,0,1,0,0,0
29,2.31,UK,Biography,0,0,0,0,0,0,0,0,0,0,1,0
30,7.1129999999999995,UK,Crime,0,1,0,0,0,0,0,0,0,0,0,0
31,6.497000000000001,USA,Comedy,0,0,0,0,0,0,0,0,0,0,1,0
