,score_tmdb,votes_tmdb,votes_ml,score_ml,popularity,january,february,march,april,may,june,july,august,september,october,november,december
0,7.9,9550,68469,3.8866494325899312,22.773000000000003,0,0,0,0,0,0,0,0,0,1,0,0
1,7.1,5594,27143,3.246582912721512,2.947,0,0,0,0,0,0,0,0,0,0,0,1
2,6.5,140,15585,3.173981392364453,6.0760000000000005,0,0,0,0,0,0,0,0,0,0,0,1
3,6.1,55,2989,2.8745399799263973,2.917,0,0,0,0,0,0,0,0,0,0,0,1
4,6.1,288,15474,3.077290939640688,6.817,0,1,0,0,0,0,0,0,0,0,0,0
5,7.8,3002,28683,3.8442108566049575,13.665999999999999,0,0,0,0,0,0,0,0,0,0,0,1
6,6.1,260,15301,3.371348277890334,6.1770000000000005,0,0,0,0,0,0,0,0,0,0,0,1
7,5.3,73,1539,3.1224821312540607,3.5669999999999997,0,0,0,0,0,0,0,0,0,0,0,1
8,5.7,279,4449,3.007529781973477,5.89,0,0,0,0,0,0,0,0,0,1,0,0
9,6.8,1853,33086,3.4316327147433965,16.629,0,0,0,0,0,0,0,0,0,0,1,0
10,6.6,299,19669,3.660277594183741,6.165,0,0,0,0,0,0,0,0,0,0,1,0
11,7.2,947,1952,3.3396516393442623,8.735,0,0,0,0,0,0,0,0,0,0,0,1
12,7.0,123,6838,3.4289997075168177,5.835,0,0,0,0,0,0,0,0,0,0,0,1
13,5.8,221,3154,2.7309765377298665,7.02,0,0,0,0,0,0,0,0,0,0,0,1
14,7.9,2283,21165,3.802362390739429,12.757,0,0,0,0,0,0,0,0,0,0,1,0
15,7.4,647,24552,3.950126262626263,8.861,0,0,0,0,0,0,0,0,0,0,0,1
16,6.3,1089,6255,3.4120703437250204,8.995,0,0,0,0,0,0,0,0,0,0,0,1
17,6.2,2019,24913,2.6420142094488823,8.87,0,0,0,0,0,0,0,0,0,0,1,0
18,5.6,335,4658,2.894482610562473,7.8260000000000005,0,0,0,0,0,0,0,0,0,0,1,0
19,6.5,451,25699,3.5683684190046305,10.099,0,0,0,0,0,0,0,0,0,1,0,0
20,6.5,382,11136,3.301140445402299,5.32,0,0,0,0,0,0,0,0,0,1,0,0
21,6.2,624,4871,3.1587969616095264,8.277999999999999,0,0,0,0,0,0,0,0,0,1,0,0
22,6.4,218,9191,3.1793058426721794,7.691,0,0,0,0,0,0,0,0,0,1,0,0
23,6.6,60,3028,3.610138705416116,3.7319999999999998,0,0,0,0,0,0,0,0,0,0,0,1
24,6.8,152,1876,3.425106609808102,7.539,0,0,0,0,0,0,0,0,0,1,0,0
25,7.5,465,10024,3.91879489225858,9.141,0,0,0,0,1,0,0,0,0,0,0,0
26,6.5,402,11802,3.237586849686494,6.308,0,0,0,0,0,0,0,1,0,0,0,0
27,7.5,4106,54846,3.8901925391095062,14.048,0,0,0,0,0,0,0,0,0,0,0,1
28,6.6,5,72,3.055555555555556,1.4,0,0,0,0,0,0,0,0,1,0,0,0
29,6.8,24,1572,3.4987277353689565,2.31,0,0,0,0,1,0,0,0,0,0,0,0
30,7.4,595,23955,3.9287622625756633,7.1129999999999995,0,0,0,0,0,0,0,0,0,0,0,1
31,6.3,354,712,2.9129213483146073,6.497000000000001,0,0,0,0,0,0,0,0,0,0,1,0
32,7.1,1691,29422,3.4162871320780375,10.455,0,0,0,0,0,0,1,0,0,0,0,0
33,6.9,68,5082,3.8498622589531677,6.454,0,0,0,0,0,0,0,0,0,0,0,1
34,6.6,113,2620,3.0482824427480915,5.585,0,0,0,0,0,0,0,0,0,1,0,0
35,6.5,47,2667,3.4662542182227223,4.888999999999999,0,0,0,0,0,0,0,0,0,0,0,1
36,5.6,835,13098,2.631852191174225,10.225,0,0,0,0,0,0,0,1,0,0,0,0
37,6.7,303,9719,3.3727235312274924,6.814,0,0,0,0,0,0,0,0,1,0,0,0
38,6.3,70,3334,3.268596280743852,6.04,0,0,0,0,0,0,0,0,0,1,0,0
39,8.3,9940,55240,4.071687183200579,23.323,0,0,0,0,0,0,0,0,1,0,0,0
40,6.9,2932,16358,2.9631678689326324,11.145,0,0,0,0,0,1,0,0,0,0,0,0
41,6.6,28,268,3.567164179104477,3.0,0,0,0,0,1,0,0,0,0,0,0,0
42,8.2,5341,62180,4.291958829205531,14.51,0,0,0,0,0,0,1,0,0,0,0,0
43,6.7,245,10398,3.5328909405654936,5.752000000000001,0,0,0,0,0,0,0,0,1,0,0,0
44,5.1,67,1064,2.8486842105263164,3.866,0,0,0,0,0,0,0,0,1,0,0,0
45,6.3,16,978,3.225460122699386,1.7819999999999998,0,0,0,0,1,0,0,0,0,0,0,0
46,6.3,68,2530,3.3223320158102765,4.715,0,0,0,0,0,0,0,0,0,0,1,0
47,6.0,246,7601,3.0712406262333904,5.893,0,0,0,0,0,0,1,0,0,0,0,0
48,6.0,107,2465,3.33630831643002,5.058,1,0,0,0,0,0,0,0,0,0,0,0
49,7.1,165,23359,3.7467143285243374,5.997999999999999,0,0,0,0,0,0,0,0,0,0,0,1
50,6.2,329,2744,3.1215379008746362,8.749,1,0,0,0,0,0,0,0,0,0,0,0
51,4.8,28,2192,2.8378193430656933,2.177,1,0,0,0,0,0,0,0,0,0,0,0
